year,sample,island,pool,pool_suitable
1989,1,N,28A,n
1989,2,N,28A,n
1990,1,N,28A,n
1990,2,N,28A,n
1991,1,N,28A,n
1991,2,N,28A,n
1992,1,N,28A,n
1992,2,N,28A,n
1993,1,N,28A,n
1993,2,N,28A,n
1994,1,N,28A,n
1994,2,N,28A,n
1995,1,N,28A,n
1995,2,N,28A,n
1996,1,N,28A,n
1996,2,N,28A,n
1997,1,N,28A,n
1997,2,N,28A,n
1998,1,N,28A,n
1998,2,N,28A,n
1999,1,N,28A,n
1999,2,N,28A,n
2000,1,N,28A,n
2000,2,N,28A,n
2001,1,N,28A,n
2001,2,N,28A,n
2002,1,N,28A,n
2002,2,N,28A,n
2003,1,N,28A,n
2003,2,N,28A,n
2004,1,N,28A,n
2004,2,N,28A,n
2005,1,N,28A,n
2005,2,N,28A,n
2006,1,N,28A,n
2006,2,N,28A,n
2007,1,N,28A,n
2007,2,N,28A,n
2008,1,N,28A,n
2008,2,N,28A,n
2009,1,N,28A,n
2009,2,N,28A,n
2010,1,N,28A,n
2010,2,N,28A,n
2011,1,N,28A,n
2011,2,N,28A,n
2012,1,N,28A,n
2012,2,N,28A,n
2013,1,N,28A,n
1982,2,M,30A,n
1983,1,M,30A,n
1983,2,M,30A,n
1984,1,M,30A,n
1984,2,M,30A,n
1985,1,M,30A,n
1985,2,M,30A,n
1986,1,M,30A,n
1986,2,M,30A,n
1987,1,M,30A,n
1987,2,M,30A,n
1988,1,M,30A,n
1988,2,M,30A,n
1989,1,M,30A,n
1989,2,M,30A,n
1990,1,M,30A,n
1990,2,M,30A,n
1991,1,M,30A,n
1991,2,M,30A,n
1992,1,M,30A,n
1992,2,M,30A,n
1993,1,M,30A,n
1993,2,M,30A,n
1994,1,M,30A,n
1994,2,M,30A,n
1995,1,M,30A,n
1995,2,M,30A,n
1996,1,M,30A,n
1996,2,M,30A,n
1997,1,M,30A,n
1997,2,M,30A,n
1998,1,M,30A,n
1998,2,M,30A,n
1999,1,M,30A,n
1999,2,M,30A,n
2000,1,M,30A,n
2000,2,M,30A,n
2001,1,M,30A,n
2001,2,M,30A,n
2002,1,M,30A,n
2002,2,M,30A,n
2003,1,M,30A,n
2003,2,M,30A,n
2004,1,M,30A,n
2004,2,M,30A,n
2005,1,M,30A,n
2005,2,M,30A,n
2006,1,M,30A,n
2006,2,M,30A,n
2007,1,M,30A,n
2007,2,M,30A,n
2008,1,M,30A,n
2008,2,M,30A,n
2009,1,M,30A,n
2009,2,M,30A,n
2010,1,M,30A,n
2010,2,M,30A,n
2011,1,M,30A,n
2011,2,M,30A,n
2012,1,M,30A,n
2012,2,M,30A,n
1982,2,G,37A,n
1983,1,G,37A,n
1983,2,G,37A,n
1984,1,G,37A,n
1984,2,G,37A,n
1985,1,G,37A,n
1985,2,G,37A,n
1986,1,G,37A,n
