poolname;year;sample;pool;island;water_VIP;magna_VIP;pulex_VIP;longispina_VIP;water_DE;magna_DE;longispina_DE;pulex_DE
FO-13;2011;1;13;FO;y;0;0;0;y;0;0;0
FO-13;2011;2;13;FO;y;0;0;0;y;0;0;0
FO-13;2012;1;13;FO;y;0;0;0;y;0;0;0
FO-13;2012;2;13;FO;y;0;0;0;y;0;0;0
FO-15;2009;1;15;FO;y;0;0;0;y;0;0;0
FO-15;2009;2;15;FO;y;0;0;0;y;0;0;0
FO-15;2010;1;15;FO;y;0;0;0;y;0;0;0
FO-15;2011;1;15;FO;y;0;0;0;n;NA;NA;NA
FO-15;2011;2;15;FO;y;0;0;0;y;0;0;0
FO-15;2012;1;15;FO;y;0;0;0;n;NA;NA;NA
FO-15;2012;2;15;FO;y;0;0;0;y;0;0;0
FO-16;2009;1;16;FO;y;0;0;0;y;0;0;0
FO-16;2009;2;16;FO;y;0;0;0;y;0;0;0
FO-16;2010;1;16;FO;y;0;0;0;y;0;0;0
FO-16;2011;1;16;FO;y;0;0;0;n;NA;NA;NA
FO-16;2011;2;16;FO;y;0;0;1;y;0;0;0
FO-16;2012;1;16;FO;y;0;0;1;n;NA;NA;NA
FO-16;2012;2;16;FO;y;0;0;1;y;0;0;0
FO-17;2009;1;17;FO;y;0;0;1;y;0;1;0
FO-17;2009;2;17;FO;y;0;0;1;y;0;1;0
FO-17;2010;1;17;FO;y;0;0;1;y;0;1;0
FO-17;2011;1;17;FO;y;0;0;1;y;0;1;0
FO-17;2011;2;17;FO;y;0;0;1;y;0;1;0
FO-17;2012;1;17;FO;y;0;0;1;y;0;1;0
FO-17;2012;2;17;FO;y;0;0;1;y;0;1;0
FO-18;2009;1;18;FO;y;0;0;0;y;0;0;0
FO-18;2009;2;18;FO;y;0;0;1;y;0;1;0
FO-18;2010;1;18;FO;y;0;0;1;y;0;1;0
FO-18;2011;1;18;FO;y;0;0;1;y;0;1;0
FO-18;2011;2;18;FO;y;0;0;0;y;0;1;0
FO-18;2012;1;18;FO;y;0;0;1;n;NA;NA;NA
FO-18;2012;2;18;FO;y;0;0;1;y;0;1;0
FO-19;2009;1;19;FO;y;0;0;0;y;0;0;0
FO-19;2009;2;19;FO;y;0;0;0;y;0;0;0
FO-19;2010;1;19;FO;y;0;0;1;y;0;1;0
FO-19;2011;1;19;FO;y;0;0;0;n;NA;NA;NA
FO-19;2011;2;19;FO;y;0;0;1;y;0;0;0
FO-19;2012;1;19;FO;y;0;0;0;n;NA;NA;NA
FO-19;2012;2;19;FO;y;0;0;0;y;0;1;0
FO-2;2009;1;2;FO;y;0;0;0;y;0;0;0
FO-2;2009;2;2;FO;y;0;0;0;y;0;0;0
FO-2;2010;1;2;FO;y;0;0;0;y;0;0;0
FO-2;2011;1;2;FO;y;0;0;0;y;0;0;0
FO-2;2011;2;2;FO;y;0;0;0;y;0;0;0
FO-2;2012;1;2;FO;y;0;0;0;y;0;0;0
FO-2;2012;2;2;FO;y;0;0;0;y;0;0;0
FO-20;2009;1;20;FO;y;0;0;0;y;0;0;0
FO-20;2009;2;20;FO;y;0;0;0;y;0;1;0
FO-20;2010;1;20;FO;y;0;0;0;y;0;0;0
FO-20;2011;1;20;FO;y;0;0;0;n;NA;NA;NA
FO-20;2011;2;20;FO;y;0;0;0;y;0;1;0
FO-20;2012;1;20;FO;y;0;0;0;n;NA;NA;NA
FO-20;2012;2;20;FO;y;0;0;0;y;0;1;0
FO-21;2009;1;21;FO;y;0;1;1;y;0;1;0
FO-21;2009;2;21;FO;y;0;0;1;y;0;1;0
FO-21;2010;1;21;FO;y;0;0;1;y;0;1;1
FO-21;2011;1;21;FO;y;0;0;1;y;0;1;0
FO-21;2011;2;21;FO;y;0;0;1;y;0;1;0
FO-21;2012;1;21;FO;y;0;0;1;y;0;1;0
FO-21;2012;2;21;FO;y;0;0;1;y;0;1;0
FO-3;2009;1;3;FO;y;0;0;0;y;0;0;0
FO-3;2009;2;3;FO;y;0;0;0;y;0;0;0
FO-3;2010;1;3;FO;y;0;0;0;y;0;0;0
FO-3;2011;1;3;FO;y;0;0;0;y;0;0;0
FO-3;2011;2;3;FO;y;0;0;0;y;0;0;0
FO-3;2012;1;3;FO;y;0;0;0;y;0;0;0
FO-3;2012;2;3;FO;y;0;0;0;y;0;0;0
FO-4;2009;2;4;FO;y;0;0;0;y;0;0;0
FO-4;2010;1;4;FO;y;0;0;1;y;0;0;0
FO-4;2011;1;4;FO;y;0;0;1;y;0;0;1
FO-4;2011;2;4;FO;y;0;0;0;y;0;0;0
FO-4;2012;1;4;FO;y;0;0;0;y;0;0;0
FO-4;2012;2;4;FO;y;0;0;0;y;0;0;0
FO-5;2009;2;5;FO;y;0;0;0;y;0;0;0
FO-5;2010;1;5;FO;y;0;0;0;y;0;0;0
FO-5;2011;1;5;FO;y;0;0;0;n;NA;NA;NA
FO-5;2011;2;5;FO;y;0;0;0;y;0;0;0
FO-5;2012;1;5;FO;y;0;0;0;y;0;0;0
FO-5;2012;2;5;FO;y;0;0;0;y;0;0;0
FO-6;2009;1;6;FO;y;0;0;0;y;0;0;0
FO-6;2009;2;6;FO;y;0;0;0;y;0;0;0
FO-6;2010;1;6;FO;y;0;0;0;y;0;0;0
FO-6;2011;1;6;FO;y;0;0;0;y;0;0;0
FO-6;2011;2;6;FO;y;0;0;0;y;0;0;0
FO-6;2012;1;6;FO;y;0;0;0;y;0;0;0
FO-6;2012;2;6;FO;y;0;0;0;y;0;0;0
FO-7;2009;1;7;FO;y;0;0;0;y;0;0;0
FO-7;2009;2;7;FO;y;0;0;0;y;0;0;0
